Country,Year,Policy,Discount,Money Market,,,,,,
Australia,1969,5.5,,,,,,0.055,,
Australia,1970,6.03,,5.19,,,,0.0603,,
Australia,1971,6.07,,5.46,,,,0.0607,,
Australia,1972,4.89,,4.65,,,,0.0489,,
Australia,1973,6.13,,4.98,,,,0.0613,,
Australia,1974,10.22,,7.52,,,,0.1022,,
Australia,1975,8.71,,9.49,,,,0.0871,,
Australia,1976,8.67,,7.09,,,,0.0867,,
Australia,1977,9.91,,8.64,,,,0.0991,,
Australia,1978,9.35,,8.64,,,,0.0935,,
Australia,1979,9.53,,9.05,,,,0.0953,,
Australia,1980,11.11,,11.18,,,,0.1111,,
Australia,1981,13.53,,13.82,,,,0.1353,,
Australia,1982,15.76,,16.32,,,,0.1576,,
Australia,1983,12.14,,11.25,,,,0.1214,,
Australia,1984,12.03,,11.88,,,,0.1203,,
Australia,1985,15.98,,15.75,,,,0.1598,,
Australia,1986,16.92,,16.76,,,,0.1692,,
Australia,1987,14.95,,13.52,,,,0.1495,,
Australia,1988,13.2,,12.51,,,,0.132,,
Australia,1989,17.23,,17.25,,,,0.1723,,
Australia,1990,12,,14.88,,,,0.12,,
Australia,1991,8.5,,10.53,,,,0.085,,
Australia,1992,5.75,,6.53,,,,0.0575,,
Australia,1993,4.75,,5.15,,,,0.0475,,
Australia,1994,7.5,,5.2,,,,0.075,,
Australia,1995,7.5,,7.5,,,,0.075,,
Australia,1996,6,,7.2,,,,0.06,,
Australia,1997,5,,5.5,,,,0.05,,
Australia,1998,4.75,,4.97,,,,0.0475,,
Australia,1999,5,,4.78,,,,0.05,,
Australia,2000,6.25,,5.9,,,,0.0625,,
Australia,2001,4.25,,5.06,,,,0.0425,,
Australia,2002,4.75,,4.55,,,,0.0475,,
Australia,2003,5.25,,4.81,,,,0.0525,,
Australia,2004,5.25,,5.25,,,,0.0525,,
Australia,2005,5.5,,5.46,,,,0.055,,
Australia,2006,6.25,,5.81,,,,0.0625,,
Australia,2007,6.75,,6.39,,,,0.0675,,
Australia,2008,4.25,,6.67,,,,0.0425,,
Australia,2009,3.75,,3.28,,,,0.0375,,
Australia,2010,4.75,,4.35,,,,0.0475,,
Australia,2011,4.25,,4.69,,,,0.0425,,
Australia,2012,3,,3.7,,,,0.03,,
Australia,2013,2.5,,2.74,,,,0.025,,
Australia,2014,2.5,,2.5,,,,0.025,,
Australia,2015,2,,2.11,,,,0.02,,
Australia,2016,1.5,,1.73,,,,0.015,,
Austria,1950,,3.5,,,,,0,,
Austria,1951,,5,,,,,0,,
Austria,1952,,6,,,,,0,,
Austria,1953,,4,,,,,0,,
Austria,1954,,3.5,,,,,0,,
Austria,1955,,5,,,,,0,,
Austria,1956,,5,,,,,0,,
Austria,1957,,5,,,,,0,,
Austria,1958,,5,,,,,0,,
Austria,1959,,4.5,,,,,0,,
Austria,1960,,5,,,,,0,,
Austria,1961,,5,,,,,0,,
Austria,1962,,5,,,,,0,,
Austria,1963,,4.5,,,,,0,,
Austria,1964,,4.5,,,,,0,,
Austria,1965,,4.5,,,,,0,,
Austria,1966,,4.5,,,,,0,,
Austria,1967,,3.75,4.75,,,,0,,
Austria,1968,,3.75,4.14,,,,0,,
Austria,1969,,4.75,4.49,,,,0,,
Austria,1970,,5,5.66,,,,0,,
Austria,1971,,5,4.39,,,,0,,
Austria,1972,,5.5,5.17,,,,0,,
Austria,1973,,5.5,6.94,,,,0,,
Austria,1974,,6.5,7.26,,,,0,,
Austria,1975,,6,5.48,,,,0,,
Austria,1976,,4,4.67,,,,0,,
Austria,1977,,5.5,7.49,,,,0,,
Austria,1978,,4.5,6.45,,,,0,,
Austria,1979,,3.75,5.59,,,,0,,
Austria,1980,,6.75,10.38,,,,0,,
Austria,1981,,6.75,10.82,,,,0,,
Austria,1982,,4.75,8,,,,0,,
Austria,1983,,3.75,5.36,,,,0,,
Austria,1984,,4.5,6.57,,,,0,,
Austria,1985,,4,6.11,,,,0,,
Austria,1986,,4,5.19,,,,0,,
Austria,1987,,3,4.35,,,,0,,
Austria,1988,,4,4.59,,,,0,,
Austria,1989,,6.5,7.46,,,,0,,
Austria,1990,,6.5,8.53,,,,0,,
Austria,1991,,8,9.1,,,,0,,
Austria,1992,,8,9.35,,,,0,,
Austria,1993,,5.25,7.22,,,,0,,
Austria,1994,,4.5,5.03,,,,0,,
Austria,1995,,3,4.36,,,,0,,
Austria,1996,,2.5,3.19,,,,0,,
Austria,1997,,2.5,3.27,,,,0,,
Austria,1998,,2.5,3.36,,,,0,,
Belgium,1950,,3.75,1.25,,,,0,,
Belgium,1951,,3.25,1.25,,,,0,,
Belgium,1952,,3,1.25,,,,0,,
Belgium,1953,,2.75,1.25,,,,0,,
Belgium,1954,,2.75,1.25,,,,0,,
Belgium,1955,,3,1.35,,,,0,,
Belgium,1956,,3.5,1.58,,,,0,,
Belgium,1957,,4.5,1.78,,,,0,,
Belgium,1958,,3.5,1.41,,,,0,,
Belgium,1959,,4,1.14,,,,0,,
Belgium,1960,,5,2.79,,,,0,,
Belgium,1961,,4.5,2.55,,,,0,,
Belgium,1962,,3.5,2.11,,,,0,,
Belgium,1963,,4.25,2.3,,,,0,,
Belgium,1964,,4.75,3.36,,,,0,,
Belgium,1965,,4.75,3.14,,,,0,,
Belgium,1966,,5.25,3.89,,,,0,,
Belgium,1967,,4,3.22,,,,0,,
Belgium,1968,,4.5,2.85,,,,0,,
Belgium,1969,,7.5,5.28,,,,0,,
Belgium,1970,,6.5,6.26,,,,0,,
Belgium,1971,,5.5,3.72,,,,0,,
Belgium,1972,,5,2.5,,,,0,,
Belgium,1973,,7.75,4.8,,,,0,,
Belgium,1974,,8.75,9.24,,,,0,,
Belgium,1975,,6,4.68,,,,0,,
Belgium,1976,,9,8.31,,,,0,,
Belgium,1977,,9,5.49,,,,0,,
Belgium,1978,,6,5.23,,,,0,,
Belgium,1979,,10.5,7.97,,,,0,,
Belgium,1980,,12,11.22,,,,0,,
Belgium,1981,,15,11.47,,,,0,,
Belgium,1982,,11.5,11.44,,,,0,,
Belgium,1983,,10,8.18,,,,0,,
Belgium,1984,,11,9.47,,,,0,,
Belgium,1985,,9.75,8.27,,,,0,,
Belgium,1986,,8,6.64,,,,0,,
Belgium,1987,,7,5.67,,,,0,,
Belgium,1988,,7.75,5.04,,,,0,,
Belgium,1989,,10.25,7,,,,0,,
Belgium,1990,,10.5,8.29,,,,0,,
Belgium,1991,,8.5,9.38,,,,0,,
Belgium,1992,,7.75,9.38,,,,0,,
Belgium,1993,,5.25,8.21,,,,0,,
Belgium,1994,,4.5,5.72,,,,0,,
Belgium,1995,,3,4.8,,,,0,,
Belgium,1996,,2.5,3.24,,,,0,,
Belgium,1997,,2.75,3.46,,,,0,,
Belgium,1998,,2.75,3.58,,,,0,,
Canada,1970,6,,,,,,0.06,,
Canada,1971,4.75,,,,,,0.0475,,
Canada,1972,4.75,,,,,,0.0475,,
Canada,1973,7.25,,,,,,0.0725,,
Canada,1974,8.75,,,,,,0.0875,,
Canada,1975,9,,,,,,0.09,,
Canada,1976,8.5,,,,,,0.085,,
Canada,1977,7.5,,,,,,0.075,,
Canada,1978,10.75,,,,,,0.1075,,
Canada,1979,14,,,,,,0.14,,
Canada,1980,17.26,,,,,,0.1726,,
Canada,1981,14.66,,,,,,0.1466,,
Canada,1982,10.26,,,,,,0.1026,,
Canada,1983,10.04,,,,,,0.1004,,
Canada,1984,10.16,,,,,,0.1016,,
Canada,1985,9.49,,,,,,0.0949,,
Canada,1986,8.49,,,,,,0.0849,,
Canada,1987,8.66,,,,,,0.0866,,
Canada,1988,11.17,,,,,,0.1117,,
Canada,1989,12.47,,,,,,0.1247,,
Canada,1990,11.78,,,,,,0.1178,,
Canada,1991,7.67,,,,,,0.0767,,
Canada,1992,6.75,,,,,,0.0675,,
Canada,1993,4,,,,,,0.04,,
Canada,1994,5.69,,,,,,0.0569,,
Canada,1995,5.78,,,,,,0.0578,,
Canada,1996,3,,,,,,0.03,,
Canada,1997,4.25,,,,,,0.0425,,
Canada,1998,5,,,,,,0.05,,
Canada,1999,4.75,,,,,,0.0475,,
Canada,2000,5.75,,,,,,0.0575,,
Canada,2001,2.25,,,,,,0.0225,,
Canada,2002,2.75,,,,,,0.0275,,
Canada,2003,2.75,,,,,,0.0275,,
Canada,2004,2.5,,,,,,0.025,,
Canada,2005,3.25,,,,,,0.0325,,
Canada,2006,4.25,,,,,,0.0425,,
Canada,2007,4.25,,,,,,0.0425,,
Canada,2008,1.5,,,,,,0.015,,
Canada,2009,0.25,,,,,,0.0025,,
Canada,2010,1,,,,,,0.01,,
Canada,2011,1,,,,,,0.01,,
Canada,2012,1,,,,,,0.01,,
Canada,2013,1,,,,,,0.01,,
Canada,2014,1,,,,,,0.01,,
Canada,2015,0.5,,,,,,0.005,,
Canada,2016,0.5,,,,,,0.005,,
Denmark,1950,4.5,,,,,,0.045,,
Denmark,1951,4.5,,,,,,0.045,,
Denmark,1952,4.5,,,,,,0.045,,
Denmark,1953,4,,,,,,0.04,,
Denmark,1954,5,,,,,,0.05,,
Denmark,1955,5.5,,,,,,0.055,,
Denmark,1956,5.5,,,,,,0.055,,
Denmark,1957,5.5,,,,,,0.055,,
Denmark,1958,4.5,,,,,,0.045,,
Denmark,1959,5,,,,,,0.05,,
Denmark,1960,5.5,,,,,,0.055,,
Denmark,1961,6.5,,,,,,0.065,,
Denmark,1962,6.5,,,,,,0.065,,
Denmark,1963,5.5,,,,,,0.055,,
Denmark,1964,6.5,,,,,,0.065,,
Denmark,1965,6.5,,,,,,0.065,,
Denmark,1966,6.5,,,,,,0.065,,
Denmark,1967,7.5,,,,,,0.075,,
Denmark,1968,6,,,,,,0.06,,
Denmark,1969,9,,,,,,0.09,,
Denmark,1970,9,,,,,,0.09,,
Denmark,1971,7.5,,,,,,0.075,,
Denmark,1972,7,,6.26,,,,0.07,,0.0626
Denmark,1973,9,,8.1,,,,0.09,,0.081
Denmark,1974,10,,13.34,,,,0.1,,0.1334
Denmark,1975,7.5,,6.47,,,,0.075,,0.0647
Denmark,1976,10,,10.28,,,,0.1,,0.1028
Denmark,1977,9,,14.48,,,,0.09,,0.1448
Denmark,1978,8,,15.42,,,,0.08,,0.1542
Denmark,1979,11,,12.63,,,,0.11,,0.1263
Denmark,1980,11,,16.93,,,,0.11,,0.1693
Denmark,1981,11,,14.84,,,,0.11,,0.1484
Denmark,1982,10,,16.92,,,,0.1,,0.1692
Denmark,1983,7,,12.81,,,,0.07,,0.1281
Denmark,1984,7,,11.77,,,,0.07,,0.1177
Denmark,1985,7,,10.33,,,,0.07,,0.1033
Denmark,1986,7,,9.22,,,,0.07,,0.0922
Denmark,1987,7,,10.2,,,,0.07,,0.102
Denmark,1988,7,,8.52,,,,0.07,,0.0852
Denmark,1989,7,,9.66,,,,0.07,,0.0966
Denmark,1990,8.5,,10.97,,,,0.085,,0.1097
Denmark,1991,9.5,,9.78,,,,0.095,,0.0978
Denmark,1992,9.5,,11.35,,,,0.095,,0.1135
Denmark,1993,6.25,,11.49,,,,0.0625,,0.1149
Denmark,1994,5,,6.3,,,,0.05,,0.063
Denmark,1995,4.25,,6.19,,,,0.0425,,0.0619
Denmark,1996,3.25,,3.98,,,,0.0325,,0.0398
Denmark,1997,3.5,,3.71,,,,0.035,,0.0371
Denmark,1998,3.5,,4.27,,,,0.035,,0.0427
Denmark,1999,3,,3.37,,,,0.03,,0.0337
Denmark,2000,4.75,,4.98,,,,0.0475,,0.0498
Denmark,2001,3.25,,4,,,,0.0325,,0.04
Denmark,2002,2.86,,3.56,,,,0.0286,,0.0356
Denmark,2003,2,,2.38,,,,0.02,,0.0238
Denmark,2004,2,,2.16,,,,0.02,,0.0216
Denmark,2005,2.25,,2.2,,,,0.0225,,0.022
Denmark,2006,3.5,,3.18,,,,0.035,,0.0318
Denmark,2007,4,,4.33,,,,0.04,,0.0433
Denmark,2008,3.5,,4.88,,,,0.035,,0.0488
Denmark,2009,1,,1.81,,,,0.01,,0.0181
Denmark,2010,0.75,,0.7,,,,0.0075,,0.007
Denmark,2011,0.75,,0.89,,,,0.0075,,0.0089
Denmark,2012,0,,0.08,,,,0,,0.0008
Denmark,2013,0,,-0.02,,,,0,,-0.0002
Denmark,2014,0,,0.06,,,,0,,0.0006
Denmark,2015,0,,-0.13,,,,0,,-0.0013
Denmark,2016,0,,-0.44,,,,0,,-0.0044
Euro Area,1994,,,6.53,,,,0,,
Euro Area,1995,,,6.82,,,,0,,
Euro Area,1996,,,5.09,,,,0,,
Euro Area,1997,,,4.38,,,,0,,
Euro Area,1998,,,3.96,,,,0,,
Euro Area,1999,3,4,2.96,,,,0.03,,
Euro Area,2000,4.75,5.75,4.39,,,,0.0475,,
Euro Area,2001,3.25,4.25,4.26,,,,0.0325,,
Euro Area,2002,2.75,3.75,3.26,,,,0.0275,,
Euro Area,2003,2,3,2.26,,,,0.02,,
Euro Area,2004,2,3,2.05,,,,0.02,,
Euro Area,2005,2.25,3.25,2.12,,,,0.0225,,
Euro Area,2006,3.5,4.5,3.01,,,,0.035,,
Euro Area,2007,4,5,3.98,,,,0.04,,
Euro Area,2008,2.5,3,3.78,,,,0.025,,
Euro Area,2009,1,1.75,0.7,,,,0.01,,
Euro Area,2010,1,1.75,0.48,,,,0.01,,
Euro Area,2011,1,1.75,0.82,,,,0.01,,
Euro Area,2012,0.75,1.5,0.06,,,,0.0075,,
Euro Area,2013,0.25,0.75,0.05,,,,0.0025,,
Euro Area,2014,0.05,0.3,0.05,,,,0.0005,,
Euro Area,2015,0.05,0.3,,,,,0.0005,,
Euro Area,2016,0,0.25,,,,,0,,
Finland,1950,,7.75,,,,,0,,
Finland,1951,,5.75,,,,,0,,
Finland,1952,,5.75,,,,,0,,
Finland,1953,,5.75,,,,,0,,
Finland,1954,,5.75,,,,,0,,
Finland,1955,,5.75,,,,,0,,
Finland,1956,,7.5,,,,,0,,
Finland,1957,,7.5,,,,,0,,
Finland,1958,,7.25,,,,,0,,
Finland,1959,,6.75,,,,,0,,
Finland,1960,,6.75,,,,,0,,
Finland,1961,,6.75,,,,,0,,
Finland,1962,,7,,,,,0,,
Finland,1963,,7,,,,,0,,
Finland,1964,,7,,,,,0,,
Finland,1965,,7,,,,,0,,
Finland,1966,,7,,,,,0,,
Finland,1967,,7,,,,,0,,
Finland,1968,,7,,,,,0,,
Finland,1969,,7,,,,,0,,
Finland,1970,,7,,,,,0,,
Finland,1971,,8.5,,,,,0,,
Finland,1972,,7.75,,,,,0,,
Finland,1973,,9.25,,,,,0,,
Finland,1974,,9.25,,,,,0,,
Finland,1975,,9.25,,,,,0,,
Finland,1976,,9.25,,,,,0,,
Finland,1977,,8.25,,,,,0,,
Finland,1978,,7.25,11.75,,,,0.1175,,0.1175
Finland,1979,,8.5,9.26,,,,0.0926,,0.0926
Finland,1980,,9.25,12.35,,,,0.1235,,0.1235
Finland,1981,,9.25,11.46,,,,0.1146,,0.1146
Finland,1982,,8.5,11.66,,,,0.1166,,0.1166
Finland,1983,,9.5,14.67,,,,0.1467,,0.1467
Finland,1984,,9.5,16.5,,,,0.165,,0.165
Finland,1985,,9,13.46,,,,0.1346,,0.1346
Finland,1986,,7,11.9,,,,0.119,,0.119
Finland,1987,,7,10.03,,,,0.1003,,0.1003
Finland,1988,,8,9.97,,,,0.0997,,0.0997
Finland,1989,,8.5,12.56,,,,0.1256,,0.1256
Finland,1990,,8.5,14,,,,0.14,,0.14
Finland,1991,,8.5,13.08,,,,0.1308,,0.1308
Finland,1992,,9.5,13.25,,,,0.1325,,0.1325
Finland,1993,,5.5,7.77,,,,0.0777,,0.0777
Finland,1994,,5.25,5.35,,,,0.0535,,0.0535
Finland,1995,,4.88,5.75,,,,0.0575,,0.0575
Finland,1996,,4,3.63,,,,0.0363,,0.0363
Finland,1997,,4,3.23,,,,0.0323,,0.0323
Finland,1998,,3.5,3.57,,,,0.0357,,0.0357
Finland,1999,,,2.96,,,,0.0296,,0.0296
Finland,2000,,,4.39,,,,0.0439,,0.0439
Finland,2001,,,4.26,,,,0.0426,,0.0426
Finland,2002,,,3.32,,,,0.0332,,0.0332
Finland,2003,,,2.33,,,,0.0233,,0.0233
Finland,2004,,2.25,2.11,,,,0.0211,,0.0211
Finland,2005,,,2.18,,,,0.0218,,0.0218
Finland,2006,,,3.08,,,,0.0308,,0.0308
Finland,2007,,,4.28,,,,0.0428,,0.0428
Finland,2008,,,4.63,,,,0.0463,,0.0463
Finland,2009,,,1.23,,,,0.0123,,0.0123
Finland,2010,,,0.81,,,,0.0081,,0.0081
Finland,2011,,,1.39,,,,0.0139,,0.0139
Finland,2012,,,0.57,,,,0.0057,,0.0057
Finland,2013,,,0.22,,,,0.0022,,0.0022
Finland,2014,,,0.21,,,,0.0021,,0.0021
Finland,2015,,,-0.02,,,,-0.0002,,-0.0002
Finland,2016,,,-0.26,,,,-0.0026,,-0.0026
France,1950,,,2.43,,,,0,,
France,1951,,,2.7,,,,0,,
France,1952,,,3.71,,,,0,,
France,1953,,,4.04,,,,0,,
France,1954,,,3.59,,,,0,,
France,1955,,,3.16,,,,0,,
France,1956,,,3.19,,,,0,,
France,1957,,,5.35,,,,0,,
France,1958,,,6.48,,,,0,,
France,1959,,,4.07,,,,0,,
France,1960,,,4.08,,,,0,,
France,1961,,,3.65,,,,0,,
France,1962,,,3.61,,,,0,,
France,1963,,,3.98,,,,0,,
France,1964,,,4.73,,,,0,,
France,1965,,,4.21,,,,0,,
France,1966,,,4.78,,,,0,,
France,1967,,,4.8,,,,0,,
France,1968,,,6.14,,,,0,,
France,1969,,,8.96,,,,0,,
France,1970,,,8.68,,,,0,,
France,1971,,,5.84,,,,0,,
France,1972,,,4.95,,,,0,,
France,1973,,,8.91,,,,0,,
France,1974,,,12.91,,,,0,,
France,1975,,,7.92,,,,0,,
France,1976,,,8.56,,,,0,,
France,1977,,,9.07,,,,0,,
France,1978,,,7.98,,,,0,,
France,1979,,,9.04,,,,0,,
France,1980,,,11.84,,,,0,,
France,1981,,,15.3,,,,0,,
France,1982,,,14.87,,,,0,,
France,1983,,,12.53,,,,0,,
France,1984,,,11.74,,,,0,,
France,1985,,,9.93,,,,0,,
France,1986,,,7.74,,,,0,,
France,1987,,,7.98,,,,0,,
France,1988,,,7.52,,,,0,,
France,1989,,,9.07,,,,0,,
France,1990,,,9.85,,,,0,,
France,1991,,,9.49,,,,0,,
France,1992,,,10.35,,,,0,,
France,1993,,,8.75,,,,0,,
France,1994,,,5.69,,,,0,,
France,1995,,,6.35,,,,0,,
France,1996,,,3.73,,,,0,,
France,1997,,,3.24,,,,0,,
France,1998,,,3.39,,,,0,,
Germany,1950,,6,4.31,,,,0,,
Germany,1951,,6,6.02,,,,0,,
Germany,1952,,4.5,5.11,,,,0,,
Germany,1953,,3.5,3.58,,,,0,,
Germany,1954,,3,2.89,,,,0,,
Germany,1955,,3.5,3.13,,,,0,,
Germany,1956,,5,4.7,,,,0,,
Germany,1957,,4,3.96,,,,0,,
Germany,1958,,3,3.08,,,,0,,
Germany,1959,,4,2.7,,,,0,,
Germany,1960,,4,4.56,,,,0,,
Germany,1961,,3,2.93,,,,0,,
Germany,1962,,3,2.66,,,,0,,
Germany,1963,,3,3,,,,0,,
Germany,1964,,3,3.29,,,,0,,
Germany,1965,,4,4.1,,,,0,,
Germany,1966,,5,5.34,,,,0,,
Germany,1967,,3,3.35,,,,0,,
Germany,1968,,3,2.59,,,,0,,
Germany,1969,,6,4.81,,,,0,,
Germany,1970,,6,8.65,,,,0,,
Germany,1971,,4,6.16,,,,0,,
Germany,1972,,4.5,4.3,,,,0,,
Germany,1973,,7,10.18,,,,0,,
Germany,1974,,6,8.87,,,,0,,
Germany,1975,,3.5,4.4,,,,0,,
Germany,1976,,3.5,3.89,,,,0,,
Germany,1977,,3,4.14,,,,0,,
Germany,1978,,3,3.36,,,,0,,
Germany,1979,,6,5.87,,,,0,,
Germany,1980,,7.5,9.06,,,,0,,
Germany,1981,,7.5,11.26,,,,0,,
Germany,1982,,5,8.67,,,,0,,
Germany,1983,,4,5.36,,,,0,,
Germany,1984,,4.5,5.55,,,,0,,
Germany,1985,,4,5.19,,,,0,,
Germany,1986,,3.5,4.57,,,,0,,
Germany,1987,,2.5,3.72,,,,0,,
Germany,1988,,3.5,4.01,,,,0,,
Germany,1989,,6,6.59,,,,0,,
Germany,1990,,6,7.92,,,,0,,
Germany,1991,,8,8.84,,,,0,,
Germany,1992,,8.25,9.42,,,,0,,
Germany,1993,,5.75,7.49,,,,0,,
Germany,1994,,4.5,5.35,,,,0,,
Germany,1995,,3,4.5,,,,0,,
Germany,1996,,2.5,3.27,,,,0,,
Germany,1997,,2.5,3.18,,,,0,,
Germany,1998,,2.5,3.41,,,,0,,
Germany,1999,,,2.73,,,,0,,
Germany,2000,,,4.11,,,,0,,
Germany,2001,,,4.37,,,,0,,
Germany,2002,,,3.28,,,,0,,
Germany,2003,,,2.32,,,,0,,
Germany,2004,,,2.05,,,,0,,
Germany,2005,,,2.09,,,,0,,
Germany,2006,,,2.84,,,,0,,
Germany,2007,,,3.86,,,,0,,
Germany,2008,,,3.82,,,,0,,
Germany,2009,,,0.63,,,,0,,
Germany,2010,,,0.38,,,,0,,
Germany,2011,,,0.81,,,,0,,
Germany,2012,,,0.26,,,,0,,
Greece,1950,,12,,,,,0,,
Greece,1951,,12,,,,,0,,
Greece,1952,,12,,,,,0,,
Greece,1953,,12,,,,,0,,
Greece,1954,,10,,,,,0,,
Greece,1955,,9,,,,,0,,
Greece,1956,,11,,,,,0,,
Greece,1957,,11,,,,,0,,
Greece,1958,,11,,,,,0,,
Greece,1959,,9,,,,,0,,
Greece,1960,,6,,,,,0,,
Greece,1961,,6,,,,,0,,
Greece,1962,,6,,,,,0,,
