Country,Year,NGDP,NDispIncome,NFinalConsumption,NSavings
Spain,1991,359461,310030,277918,32019
Spain,1992,387148,333483,305369,28533
Spain,1993,400539,344406,317768,27264
Spain,1994,425996,360562,334549,26820
Spain,1995,459337,396203,356945,39283
Spain,1996,487992,416840,376573,40302
Spain,1997,518049,442915,396910,46016
Spain,1998,554042,475022,423261,51752
Spain,1999,594316,509151,454763,54388
Spain,2000,646250,551024,493903,57121
Spain,2001,699528,591531,530079,61452
Spain,2002,749288,632310,562925,69385
Spain,2003,803472,676753,597730,79023
Spain,2004,861420,721279,646942,74337
Spain,2005,930566,769247,697774,71473
Spain,2006,1007974,825737,752142,73595
Spain,2007,1080807,877724,806882,70842
Spain,2008,1116207,896295,843061,53234
Spain,2009,1079034,867972,826374,41598
Spain,2010,1080913,871015,840470,30545
Spain,2011,1070413,851948,838538,13410
Spain,2012,1039758,833445,816585,16860
Spain,2013,1025634,824281,800322,23959
Spain,2014,1037025,837556,810919,26637
Spain,2015,1075639,873766,833524,40242
Sweden,1950,36272,..,..,..
Sweden,1951,44684,..,..,..
Sweden,1952,48610,..,..,..
Sweden,1953,50260,..,..,..
Sweden,1954,53252,..,..,..
Sweden,1955,57255,..,..,..
Sweden,1956,62228,..,..,..
Sweden,1957,66465,..,..,..
Sweden,1958,70212,..,..,..
Sweden,1959,74799,..,..,..
Sweden,1960,81366,..,..,..
Sweden,1961,88514,..,..,..
Sweden,1962,95994,..,..,..
Sweden,1963,103901,..,..,..
Sweden,1964,115870,..,..,..
Sweden,1965,127508,..,..,..
Sweden,1966,138697,..,..,..
Sweden,1967,150548,..,..,..
Sweden,1968,159757,..,..,..
Sweden,1969,173494,..,..,..
Sweden,1970,194281,171206,133825,59489
Sweden,1971,210061,184875,146455,60305
Sweden,1972,229852,202153,161428,63166
Sweden,1973,255781,225229,178496,73381
Sweden,1974,288928,252409,204456,72769
Sweden,1975,339304,296624,237335,92504
Sweden,1976,383764,334339,276531,85006
Sweden,1977,417402,359084,313064,57726
Sweden,1978,465269,398741,349786,60004
Sweden,1979,521512,446072,390454,69310
Sweden,1980,592519,506118,448287,55416
Sweden,1981,647398,549626,498286,47345
Sweden,1982,708475,596650,549817,41432
Sweden,1983,793803,664881,598380,62195
Sweden,1984,890556,749932,651903,95928
Sweden,1985,968063,813508,709451,101504
Sweden,1986,1056972,895170,775163,117858
Sweden,1987,1143994,975032,842449,130465
Sweden,1988,1250367,1063044,911533,150035
Sweden,1989,1385280,1171553,996056,174890
Sweden,1990,1527964,1280664,1107861,169862
Sweden,1991,1635017,1362858,1225972,128130
Sweden,1992,1632483,1341120,1248957,78455
Sweden,1993,1634131,1321227,1273564,28995
Sweden,1994,1744433,1454517,1327044,115899
Sweden,1995,1883562,1577981,1376906,196032
Sweden,1996,1932025,1620356,1424820,189048
Sweden,1997,2019261,1682748,1474467,202169
Sweden,1998,2121037,1768847,1538058,225782
Sweden,1999,2237854,1869929,1618106,251823
Sweden,2000,2380358,1984591,1699036,285555
Sweden,2001,2478130,2052577,1759922,292655
Sweden,2002,2569876,2130543,1848832,281711
Sweden,2003,2677446,2269445,1930047,339406
Sweden,2004,2805115,2348724,1987210,361520
Sweden,2005,2907352,2453513,2059091,394433
Sweden,2006,3099081,2657284,2150231,507062
Sweden,2007,3297053,2845447,2255672,589785
Sweden,2008,3387599,2905237,2344668,560579
Sweden,2009,3288509,2743724,2410955,332781
Sweden,2010,3519994,2973789,2521012,452789
Sweden,2011,3656577,3075364,2613713,461661
Sweden,2012,3684800,3094156,2669939,424229
Sweden,2013,3769909,3160917,2751938,408995
Sweden,2014,3936840,3297805,2847688,450140
Sweden,2015,4181103,3492764,2970529,522265
Sweden,2016,4378578,3679680,3089873,589849
Switzerland,1970,105885,..,..,..
Switzerland,1971,120285,..,..,..
Switzerland,1972,136302,..,..,..
Switzerland,1973,151893,..,..,..
Switzerland,1974,164786,..,..,..
Switzerland,1975,163682,..,..,..
Switzerland,1976,165790,..,..,..
Switzerland,1977,170263,..,..,..
Switzerland,1978,177136,..,..,..
Switzerland,1979,185160,..,..,..
Switzerland,1980,198923,..,139195,..
Switzerland,1981,213550,..,149321,..
Switzerland,1982,226240,..,158905,..
Switzerland,1983,233075,..,166451,..
Switzerland,1984,249113,..,174386,..
Switzerland,1985,264129,..,183431,..
Switzerland,1986,277202,..,191575,..
Switzerland,1987,287774,..,198670,..
Switzerland,1988,305499,..,207703,..
Switzerland,1989,329753,..,221737,..
Switzerland,1990,357608,287748,238211,50032
Switzerland,1991,373499,300108,255852,43738
Switzerland,1992,381268,302773,267572,33599
Switzerland,1993,389630,313808,272708,40202
Switzerland,1994,399251,318917,276175,42077
Switzerland,1995,404130,328471,281199,47239
Switzerland,1996,407410,332281,286848,45542
Switzerland,1997,415948,347876,292582,55767
Switzerland,1998,427658,359295,298557,61352
Switzerland,1999,435464,367130,304943,62968
Switzerland,2000,458779,390573,315892,75739
Switzerland,2001,470214,386934,326100,62034
Switzerland,2002,469338,373127,327498,46849
Switzerland,2003,474015,396836,332519,65814
Switzerland,2004,489369,406719,340142,68549
Switzerland,2005,507463,434826,348632,88140
Switzerland,2006,538125,457428,357609,102015
Switzerland,2007,573080,450956,370053,83293
Switzerland,2008,597381,424808,382247,45142
Switzerland,2009,587061,460959,387765,76036
Switzerland,2010,606146,504209,395235,111832
Switzerland,2011,618325,485462,399802,88539
Switzerland,2012,623611,494744,407225,90500
Switzerland,2013,634776,501268,414525,89765
Switzerland,2014,643784,492729,419285,76583
Switzerland,2015,645556,505223,421246,86984
Turkey,1970,0,..,..,..
Turkey,1971,0,..,..,..
Turkey,1972,0,..,..,..
Turkey,1973,1,..,..,..
Turkey,1974,1,..,..,..
Turkey,1975,1,..,..,..
Turkey,1976,1,..,..,..
Turkey,1977,2,..,..,..
Turkey,1978,2,..,..,..
Turkey,1979,4,..,..,..
Turkey,1980,7,..,..,..
Turkey,1981,11,..,..,..
Turkey,1982,14,..,..,..
Turkey,1983,19,..,..,..
Turkey,1984,30,..,..,..
Turkey,1985,48,..,..,..
Turkey,1986,70,..,..,..
Turkey,1987,103,..,..,..
Turkey,1988,178,..,..,..
Turkey,1989,313,..,..,..
Turkey,1990,541,..,..,..
Turkey,1991,867,..,..,..
Turkey,1992,1505,..,..,..
Turkey,1993,2728,..,..,..
Turkey,1994,5325,..,..,..
Turkey,1995,10686,..,..,..
Turkey,1996,20335,..,..,..
Turkey,1997,39695,..,..,..
Turkey,1998,71893,..,..,..
Turkey,1999,107164,..,..,..
Turkey,2000,170667,..,..,..
Turkey,2001,245429,..,..,..
Turkey,2002,359359,..,..,..
Turkey,2003,468015,..,..,..
Turkey,2004,577023,..,..,..
Turkey,2005,673703,..,..,..
Turkey,2006,789228,..,..,..
Turkey,2007,880461,..,..,..
Turkey,2008,994783,..,..,..
Turkey,2009,999192,828326,777038,51288
Turkey,2010,1160014,978163,905145,73018
Turkey,2011,1394477,1185001,1071927,113075
Turkey,2012,1569672,1332327,1202470,129858
Turkey,2013,1809713,1540427,1375972,164455
Turkey,2014,2044466,1732474,1530325,202149
Turkey,2015,2337530,1972438,1736315,236124
United Kingdom,1950,12898,..,..,..
United Kingdom,1951,14477,..,..,..
United Kingdom,1952,15715,..,..,..
United Kingdom,1953,16843,..,..,..
United Kingdom,1954,17756,..,..,..
United Kingdom,1955,19292,..,..,..
United Kingdom,1956,20933,..,..,..
United Kingdom,1957,22180,..,..,..
United Kingdom,1958,23270,..,..,..
United Kingdom,1959,24378,..,..,..
United Kingdom,1960,26155,..,..,..
United Kingdom,1961,27765,..,..,..
United Kingdom,1962,29017,..,..,..
United Kingdom,1963,30915,..,..,..
United Kingdom,1964,33717,..,..,..
United Kingdom,1965,36366,..,..,..
United Kingdom,1966,38776,..,..,..
United Kingdom,1967,40960,..,..,..
United Kingdom,1968,44900,..,..,..
United Kingdom,1969,48527,..,..,..
United Kingdom,1970,54451,51283,44911,5441
United Kingdom,1971,60860,56833,50540,5486
United Kingdom,1972,68054,63188,57326,5291
United Kingdom,1973,78594,72701,65606,6404
United Kingdom,1974,88183,81425,77029,4557
United Kingdom,1975,109274,101579,97607,4564
United Kingdom,1976,129450,120017,113748,6560
United Kingdom,1977,150816,137395,128344,8862
United Kingdom,1978,175163,158173,147219,10490
United Kingdom,1979,207293,185579,173653,11577
United Kingdom,1980,243097,214364,205848,9202
United Kingdom,1981,269085,235552,229700,7271
United Kingdom,1982,294814,258427,251058,8524
United Kingdom,1983,323001,285433,274888,11011
United Kingdom,1984,346946,307165,293992,12562
United Kingdom,1985,381251,333080,318354,14146
United Kingdom,1986,410311,362305,350187,12446
United Kingdom,1987,455965,398078,382580,15332
United Kingdom,1988,511671,444835,427511,17139
United Kingdom,1989,566512,487024,467531,19155
United Kingdom,1990,615673,524471,510429,15439
United Kingdom,1991,647966,553874,547077,10792
United Kingdom,1992,672170,579903,577745,7893
United Kingdom,1993,707734,612877,609485,9111
United Kingdom,1994,745196,658142,638734,20613
United Kingdom,1995,836646,696220,670315,25496
United Kingdom,1996,892900,744400,715758,27908
United Kingdom,1997,938855,796743,754076,38120
United Kingdom,1998,980308,852334,797928,46798
United Kingdom,1999,1021205,880271,849171,31100
United Kingdom,2000,1080863,939453,898081,41372
United Kingdom,2001,1120575,976908,940696,36212
United Kingdom,2002,1172652,1023473,991153,32320
United Kingdom,2003,1242449,1083461,1051124,32337
United Kingdom,2004,1304874,1139948,1112012,27936
United Kingdom,2005,1379457,1214554,1172392,42162
United Kingdom,2006,1455644,1260771,1229307,31464
United Kingdom,2007,1530890,1324957,1287609,37348
United Kingdom,2008,1564252,1352856,1339066,13790
United Kingdom,2009,1519459,1304661,1329939,-25278
United Kingdom,2010,1572439,1365893,1363814,2079
United Kingdom,2011,1628274,1413613,1397112,16501
United Kingdom,2012,1675044,1431235,1442888,-11653
United Kingdom,2013,1739563,1473533,1488161,-14628
United Kingdom,2014,1822480,1535048,1541431,-6383
United Kingdom,2015,1872714,1577182,1577526,-344
United Kingdom,2016,1939637,1642599,1630845,11754
United States,1970,1075884,933531,842093,91440
United States,1971,1167770,1009112,911812,97300
United States,1972,1282449,1113749,996986,116764
United States,1973,1428549,1249112,1091863,157245
United States,1974,1548825,1342034,1198948,143084
United States,1975,1688923,1442006,1331293,110711
United States,1976,1877587,1606645,1466357,140290
United States,1977,2085951,1790541,1619277,171267
United States,1978,2356571,2021097,1797993,223102
United States,1979,2632143,2237601,1994931,242671
United States,1980,2862505,2414134,2209512,204623
United States,1981,3210956,2705093,2444896,260196
United States,1982,3344991,2820576,2626983,193595
United States,1983,3638137,3040019,2881098,158922
United States,1984,4040693,3420345,3130146,290200
United States,1985,4346734,3658537,3411235,247300
United States,1986,4590155,3820440,3634789,185650
United States,1987,4870217,4092388,3868170,224215
United States,1988,5252629,4464384,4166664,297724
United States,1989,5657693,4751794,4474303,277493
United States,1990,5979589,5004361,4773621,230745
United States,1991,6174043,5191035,4964226,226810
United States,1992,6539299,5457836,5264909,192923
United States,1993,6878718,5709429,5545175,164258
United States,1994,7308755,6094151,5850586,243565
United States,1995,7664060,6435426,6128659,306763
United States,1996,8100201,6849881,6444568,405313
United States,1997,8608515,7328946,6785346,543596
United States,1998,9089168,7797247,7175142,622110
United States,1999,9660624,8267300,7664594,602709
United States,2000,10284779,8842084,8236564,605521
United States,2001,10621824,9112744,8648239,464502
United States,2002,10977514,9363921,9035416,328502
United States,2003,11510670,9785034,9521121,263914
United States,2004,12274928,10443964,10128958,315006
United States,2005,13093726,11130751,10774157,356595
United States,2006,13855888,11905938,11393841,512095
United States,2007,14477635,12196213,11960227,235976
United States,2008,14718582,12287243,12382213,-94987
United States,2009,14418739,11988565,12289031,-300446
United States,2010,14964372,12600301,12724404,-124112
United States,2011,15517926,13204095,13220162,-16071
United States,2012,16155255,13921805,13594777,327028
United States,2013,16691517,14306472,13884900,421571
United States,2014,17393103,15012946,14420919,592026
United States,2015,18036648,15504110,14888592,615518
European Union (28 countries),2002,10387455,8691544,8106748,584795
European Union (28 countries),2003,10558528,8848748,8265243,583504
European Union (28 countries),2004,11076863,9323025,8666428,656597
European Union (28 countries),2005,11572083,9738100,9071732,666368
European Union (28 countries),2006,12233250,10279360,9515819,763541
European Union (28 countries),2007,12957092,10875701,9971565,904136
European Union (28 countries),2008,13007941,10786162,10126460,659702
European Union (28 countries),2009,12270875,10136774,9820791,315984
European Union (28 countries),2010,12787857,10616182,10164267,451914
European Union (28 countries),2011,13158513,10920541,10377914,542628
European Union (28 countries),2012,13411675,11093414,10619584,473830
European Union (28 countries),2013,13525687,11166493,10671441,495052
European Union (28 countries),2014,13961360,11510466,10949220,561246
European Union (28 countries),2015,14636788,12061821,11413320,648501
Non-OECD Economies,1970,227972,..,..,..
Non-OECD Economies,1971,245688,..,..,..
Non-OECD Economies,1972,255236,..,..,..
Non-OECD Economies,1973,275623,..,..,..
Non-OECD Economies,1974,282769,..,..,..
Non-OECD Economies,1975,303948,..,..,..
Non-OECD Economies,1976,298858,..,..,..
Non-OECD Economies,1977,325000,..,..,..
Non-OECD Economies,1978,367870,..,..,..
Non-OECD Economies,1979,410045,..,..,..
Non-OECD Economies,1980,458758,..,..,..
Non-OECD Economies,1981,493583,..,..,..
Non-OECD Economies,1982,537335,..,..,..
Non-OECD Economies,1983,602092,..,..,..
Non-OECD Economies,1984,727850,..,..,..
Non-OECD Economies,1985,909895,..,..,..
Non-OECD Economies,1986,1037615,..,..,..
Non-OECD Economies,1987,1217459,..,..,..
Non-OECD Economies,1988,1518039,..,..,..
Non-OECD Economies,1989,1717974,..,..,..
Non-OECD Economies,1990,1887287,..,..,..
Non-OECD Economies,1991,2200563,..,..,..
Non-OECD Economies,1992,2719453,..,..,..
Non-OECD Economies,1993,3567323,..,..,..
Non-OECD Economies,1994,4863745,..,..,..
Non-OECD Economies,1995,6133989,..,..,..
Non-OECD Economies,1996,7181363,..,..,..
Non-OECD Economies,1997,7971504,..,..,..
Non-OECD Economies,1998,8519551,..,..,..
Non-OECD Economies,1999,9056438,..,..,..
Non-OECD Economies,2000,10028014,..,6366772,3592074
Non-OECD Economies,2001,11086312,..,6854666,4143225
Non-OECD Economies,2002,12171742,..,7406816,4748674
Non-OECD Economies,2003,13742203,..,7951307,5850768
Non-OECD Economies,2004,16184016,..,8908601,7422464
Non-OECD Economies,2005,18731890,..,10144777,8650647
Non-OECD Economies,2006,21943847,..,11472856,10653681
Non-OECD Economies,2007,27023227,..,13622945,13743587
Non-OECD Economies,2008,31951555,..,15746629,16703131
Non-OECD Economies,2009,34908137,..,17272829,17793315
Non-OECD Economies,2010,41303031,..,19899806,21502074
Non-OECD Economies,2011,48930057,..,24102208,24532581
Non-OECD Economies,2012,54036743,..,27111284,26822026
Non-OECD Economies,2013,59524441,..,30033781,28954456
Non-OECD Economies,2014,64397405,..,32831261,31656628
Non-OECD Economies,2015,68550575,..,35951635,32262360
Non-OECD Economies,2000,208531000,..,179214000,..
Non-OECD Economies,2001,225851000,..,196704000,..
Non-OECD Economies,2002,245323000,..,211223000,..
Non-OECD Economies,2003,272345000,..,230632000,..
Non-OECD Economies,2004,307762000,..,255076000,..
Non-OECD Economies,2005,340156000,..,277953000,..
Non-OECD Economies,2006,383898000,..,309022000,..
Non-OECD Economies,2007,431072000,..,345825000,..
Non-OECD Economies,2008,480087000,..,379201000,..
Non-OECD Economies,2009,504647000,..,402599000,..
Non-OECD Economies,2010,544924000,..,434319000,..
Non-OECD Economies,2011,619894000,..,479304000,..
Non-OECD Economies,2012,664240000,..,517616000,..
Non-OECD Economies,2013,710497000,..,555933000,..
Non-OECD Economies,2014,757065000,..,599355000,..
Non-OECD Economies,2015,799312000,..,650670000,..
Non-OECD Economies,1991,877701,820517,754746,65771
Non-OECD Economies,1992,1147150,1078481,973853,104628
Non-OECD Economies,1993,1355934,1271361,1166727,104634
Non-OECD Economies,1994,1638617,1557036,1397165,159871
Non-OECD Economies,1995,2068165,1949573,1732976,216598
Non-OECD Economies,1996,2413234,2288036,2078815,209221
Non-OECD Economies,1997,2919612,2757090,2456922,300167
Non-OECD Economies,1998,3502260,3265180,2848261,416919
Non-OECD Economies,1999,4055406,3511750,3298748,213003
Non-OECD Economies,2000,4607291,4153547,3682650,470897
Non-OECD Economies,2001,5233428,4748582,4170650,577932
Non-OECD Economies,2002,5938756,5397130,4872522,524608
Non-OECD Economies,2003,6855361,6241496,5689111,552385
Non-OECD Economies,2004,8114385,7408261,6641931,766330
Non-OECD Economies,2005,9532875,8760335,7936243,824091
Non-OECD Economies,2006,11555642,10742346,9473726,1268620
Non-OECD Economies,2007,13816351,12949814,11309379,1640434
Non-OECD Economies,2008,16109612,15131033,13528748,1602285
Non-OECD Economies,2009,17521035,16161714,14379094,1782620
Non-OECD Economies,2010,19596937,18081173,16100412,1980761
Non-OECD Economies,2011,21370733,19649345,17919048,1730297
Non-OECD Economies,2012,23371406,21544005,19474412,2069594
Non-OECD Economies,2013,24860944,22788305,20877006,1911299
Non-OECD Economies,2014,27268998,24947511,22812869,2134642
Non-OECD Economies,2015,29315644,26713119,23927065,2786055
Non-OECD Economies,2004,32422090,29919140,22720260,7308118
Non-OECD Economies,2005,36924850,34112210,25542180,8715749
Non-OECD Economies,2006,42936720,39764350,29198660,10674328
Non-OECD Economies,2007,49864260,46488570,33534420,13529400
Non-OECD Economies,2008,55826230,51896190,38742300,12350570
Non-OECD Economies,2009,65502710,61037110,45674560,15517496
Non-OECD Economies,2004,18238,15834,15385,449
Non-OECD Economies,2005,21002,18450,17469,981
Non-OECD Economies,2006,24079,21184,20115,1069
Non-OECD Economies,2007,29041,25133,23527,1606
Non-OECD Economies,2008,32696,28236,27362,874
Non-OECD Economies,2009,26935,23978,24055,-77
Non-OECD Economies,2010,28028,24434,23509,925
Non-OECD Economies,2011,31275,26712,25281,1431
Non-OECD Economies,2012,33348,28325,26601,1724
Non-OECD Economies,2013,35002,30407,27810,2597
Non-OECD Economies,2014,36590,32441,29045,3396
Non-OECD Economies,2015,37331,31761,30148,1613
Non-OECD Economies,1989,611,..,423,..
Non-OECD Economies,1990,686,..,489,..
Non-OECD Economies,1991,1490,..,941,..
Non-OECD Economies,1992,20251,..,10103,..
Non-OECD Economies,1993,182751,..,117445,..
Non-OECD Economies,1994,650778,620833,464315,..
Non-OECD Economies,1995,1522157,1098126,1118390,44535
Non-OECD Economies,1996,2139432,1662298,1579649,152571
Non-OECD Economies,1997,2496059,1962231,1953989,112981
Non-OECD Economies,1998,2801987,2165670,2204438,88728
Non-OECD Economies,1999,5139382,4270894,3614686,725529
Non-OECD Economies,2000,7784509,6688237,4925136,1688846
Non-OECD Economies,2001,9529807,8279695,6476336,1805708
Non-OECD Economies,2002,11540443,10019186,8188517,1920896
Non-OECD Economies,2003,14088722,12155626,9911287,2348513
Non-OECD Economies,2004,18162259,15960202,12558140,3435471
Non-OECD Economies,2005,23050317,20285495,15797062,4493570
Non-OECD Economies,2006,28711557,25377853,19485986,5835471
Non-OECD Economies,2007,35463861,31587606,24036253,7431706
Non-OECD Economies,2008,44028449,39027926,30135895,8843653
Non-OECD Economies,2009,41394188,36178867,32024470,5037866
Non-OECD Economies,2010,49395564,43499716,35574940,8321807
Non-OECD Economies,2011,59698117,52804150,41061650,11742500
Non-OECD Economies,2012,66926863,58658264,47084459,11573805
Non-OECD Economies,2013,71016729,61369608,52323884,9045724
Non-OECD Economies,2014,79199659,67586914,56510695,11076219
Non-OECD Economies,2015,83232618,70850329,58094987,12755343
Non-OECD Economies,2016,86043649,..,59822675,..
Non-OECD Economies,1963,8674,..,..,..
Non-OECD Economies,1964,9319,..,..,..
Non-OECD Economies,1965,10403,..,..,..
Non-OECD Economies,1966,11939,..,..,..
Non-OECD Economies,1967,13143,..,..,..
Non-OECD Economies,1968,18844,..,..,..
Non-OECD Economies,1969,20187,..,..,..
Non-OECD Economies,1970,22566,..,..,..
Non-OECD Economies,1971,30497,..,..,..
Non-OECD Economies,1972,38258,..,..,..
Non-OECD Economies,1973,53531,..,..,..
Non-OECD Economies,1974,159718,..,..,..
Non-OECD Economies,1975,163670,..,..,..
Non-OECD Economies,1976,225348,..,..,..
Non-OECD Economies,1977,260959,..,..,..
Non-OECD Economies,1978,272266,..,..,..
Non-OECD Economies,1979,375469,..,..,..
Non-OECD Economies,1980,546603,..,..,..
Non-OECD Economies,1981,622175,..,..,..
Non-OECD Economies,1982,524197,..,..,..
Non-OECD Economies,1983,445209,..,..,..
Non-OECD Economies,1984,420388,..,..,..
Non-OECD Economies,1985,376318,..,..,..
Non-OECD Economies,1986,322020,..,..,..
Non-OECD Economies,1987,320932,..,..,..
Non-OECD Economies,1988,330520,..,..,..
Non-OECD Economies,1989,357064,..,..,..
Non-OECD Economies,1990,437334,..,..,..
Non-OECD Economies,1991,491852,..,..,..
Non-OECD Economies,1992,510459,..,..,..
Non-OECD Economies,1993,494907,..,..,..
Non-OECD Economies,1994,503054,..,..,..
Non-OECD Economies,1995,533504,..,..,..
Non-OECD Economies,1996,590748,..,..,..
Non-OECD Economies,1997,617902,..,..,..
Non-OECD Economies,1998,546648,..,..,..
Non-OECD Economies,1999,603588,..,..,..
Non-OECD Economies,2000,706657,..,..,..
Non-OECD Economies,2001,686296,..,..,..
Non-OECD Economies,2002,707067,..,..,..
Non-OECD Economies,2003,804648,..,..,..
Non-OECD Economies,2004,970283,..,..,..
Non-OECD Economies,2005,1230771,..,..,..
Non-OECD Economies,2006,1411491,..,..,..
Non-OECD Economies,2007,1558827,..,..,..
Non-OECD Economies,2008,1949238,..,..,..
Non-OECD Economies,2009,1609117,..,..,..
Non-OECD Economies,2010,1975543,..,..,..
Non-OECD Economies,2011,2510650,..,..,..
Non-OECD Economies,2012,2752334,..,..,..
Non-OECD Economies,2013,2791261,..,..,..
Non-OECD Economies,2014,2826869,..,..,..
Non-OECD Economies,2015,2422507,..,..,..
Non-OECD Economies,2016,2398564,..,..,..
Non-OECD Economies,1960,5411,4581,3851,624
Non-OECD Economies,1961,5695,4805,4012,759
Non-OECD Economies,1962,6070,5178,4278,842
Non-OECD Economies,1963,6731,5789,4613,1038
Non-OECD Economies,1964,7410,6368,5170,974
Non-OECD Economies,1965,8096,6940,5602,965
Non-OECD Economies,1966,8825,7546,6089,1097
Non-OECD Economies,1967,9841,8454,6614,1348
Non-OECD Economies,1968,10639,9126,7318,1511
Non-OECD Economies,1969,11986,10282,8237,1505
Non-OECD Economies,1970,13156,11219,9302,1368
Non-OECD Economies,1971,14543,12374,10544,1740
Non-OECD Economies,1972,16418,13853,11662,2195
Non-OECD Economies,1973,20330,17269,13589,2871
Non-OECD Economies,1974,25010,21250,16178,3614
Non-OECD Economies,1975,28186,23361,19686,3617
Non-OECD Economies,1976,31829,25878,22480,3342
Non-OECD Economies,1977,35349,28431,24733,5314
Non-OECD Economies,1978,40643,32539,28059,5382
Non-OECD Economies,1979,48539,38932,32736,8130
Non-OECD Economies,1980,64628,52869,41239,13544
Non-OECD Economies,1981,74993,60787,51025,9918
Non-OECD Economies,1982,85153,68034,60996,5129
Non-OECD Economies,1983,97390,77202,70548,9791
Non-OECD Economies,1984,114104,90796,84112,7847
Non-OECD Economies,1985,131676,102758,96193,11404
Non-OECD Economies,1986,154289,119159,114826,10455
Non-OECD Economies,1987,180339,141547,138037,10599
Non-OECD Economies,1988,216381,171778,166197,14933
Non-OECD Economies,1989,259726,206791,197571,19501
Non-OECD Economies,1990,298971,238444,238903,13380
Non-OECD Economies,1991,342245,278581,275566,15635
Non-OECD Economies,1992,383723,316842,313058,12506
Non-OECD Economies,1993,438884,365763,356076,13292
Non-OECD Economies,1994,496233,416425,407017,18940
Non-OECD Economies,1995,563870,474361,455818,22289
Non-OECD Economies,1996,634611,533704,518524,23053
Non-OECD Economies,1997,703117,591903,580916,21285
Non-OECD Economies,1998,761658,636989,628194,20846
Non-OECD Economies,1999,834753,694419,684374,22974
Non-OECD Economies,2000,946324,790741,771226,26540
Non-OECD Economies,2001,1046144,867633,851786,27502
Non-OECD Economies,2002,1217265,1021644,968752,48745
Non-OECD Economies,2003,1325766,1112641,1055459,45057
Non-OECD Economies,2004,1476623,1257312,1196421,51247
Non-OECD Economies,2005,1639254,1394944,1335173,51726
Non-OECD Economies,2006,1839400,1562256,1471633,62290
Non-OECD Economies,2007,2109502,1760421,1672783,65439
Non-OECD Economies,2008,2369063,1961749,1863813,102737
Non-OECD Economies,2009,2507677,2084653,1990406,106357
Non-OECD Economies,2010,2748008,2310250,2177748,132576
Non-OECD Economies,2011,3024951,2554377,2400720,134751
Non-OECD Economies,2012,3262545,2729846,2625456,80864
Non-OECD Economies,2013,3534327,2949808,2859283,46305
Non-OECD Economies,2014,3796460,3138352,3071067,44048